"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"OSTYK42102030","On Shore Technology Inc.","ED2945-ND","","","Bulk","Active","6","1.18000","$7.08","9870","12 Weeks","CONN BARRIER STRIP 2CIRC 0.325""","RoHS Compliant","Lead free","REACH Unaffected"
"5-520314-4","TE Connectivity AMP Connectors","A123168-ND","","","Tray","Active","18","0.82800","$14.90","4437","18 Weeks","CONN FFC FPC TOP 4POS 2.54MM R/A","RoHS Compliant","Lead free","Not Available"
"30310-6002HB","3M","30310-6002HB-ND","","","Bulk","Active","6","0.91000","$5.46","18679","7 Weeks","CONN HEADER 10POS DL STR GOLD","RoHS Compliant","Lead free","Not Available"
"UHP-200A-5","MEAN WELL USA Inc.","1866-5498-ND","","","Box","Active","1","69.31000","$69.31","45","Not Available","AC/DC CONVERTER 5V 200W","RoHS Compliant","Lead free","Not Available"
"D89110-0131HK-3365/10-D-3","3M","3M156030-MC10G-3M156030-3-ND","","","Bulk","Active","3","2.25000","$6.75","237","Not Available","CABLE 10POS SOCKET TO SOCKET 3""","RoHS Compliant","Lead free","Not Available"
"AK500-OE-11-1.5","Assmann WSW Components","AE9912-ND","","","Bulk","Active","1","6.82000","$6.82","1189","20 Weeks","CORD SVT 18AWG 3COND 1.5M BLK","RoHS Compliant","Lead free","REACH Unaffected"
"0190980018","Molex, LLC","WM13758-ND","","","Bulk","Active","18","0.24600","$4.42","4260","4 Weeks","CONN SPADE TERM 18-22AWG #6","RoHS Compliant","Lead free","REACH Unaffected"
